Interval=	0.0005 s
ExcelDateTime=	4.5061510865477096e+004	5/15/2023 12:15:38.777221
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1
Range=	10.000 mV
130.135	1.003
130.1355	0.915
130.136	0.829
130.1365	0.738
130.137	0.658
130.1375	0.570
130.138	0.531
130.1385	0.451
130.139	0.284
130.1395	0.245
130.14	0.246
130.1405	0.245
130.141	0.267
130.1415	0.270
130.142	0.263
130.1425	0.232
130.143	0.178
130.1435	0.103
130.144	0.015
130.1445	-0.077
130.145	-0.163
130.1455	-0.239
130.146	-0.303
130.1465	-0.361
130.147	-0.417
130.1475	-0.462
130.148	-0.482
130.1485	-0.475
130.149	-0.452
130.1495	-0.424
130.15	-0.388
130.1505	-0.334
130.151	-0.255
130.1515	-0.163
130.152	-0.082
130.1525	-0.021
130.153	0.019
130.1535	0.043
130.154	0.052
130.1545	0.041
130.155	0.006
130.1555	-0.043
130.156	-0.090
130.1565	-0.125
130.157	-0.133
130.1575	-0.153
130.158	-0.146
130.1585	-0.202
130.159	-0.341
130.1595	-0.344
130.16	-0.310
130.1605	-0.286
130.161	-0.241
130.1615	-0.207
130.162	-0.176
130.1625	-0.174
130.163	-0.202
130.1635	-0.252
130.164	-0.307
130.1645	-0.356
130.165	-0.403
130.1655	-0.459
130.166	-0.526
130.1665	-0.591
130.167	-0.635
130.1675	-0.646
130.168	-0.631
130.1685	-0.605
130.169	-0.572
130.1695	-0.524
130.17	-0.453
130.1705	-0.363
130.171	-0.268
130.1715	-0.184
130.172	-0.115
130.1725	-0.059
130.173	-0.028
130.1735	-0.034
130.174	-0.074
130.1745	-0.127
130.175	-0.175
130.1755	-0.215
130.176	-0.251
130.1765	-0.286
130.177	-0.298
130.1775	-0.304
130.178	-0.255
130.1785	-0.248
130.179	-0.330
130.1795	-0.302
130.18	-0.267
130.1805	-0.277
130.181	-0.321
130.1815	-0.445
130.182	-0.640
130.1825	-0.908
130.183	-1.210
130.1835	-1.483
130.184	-1.655
130.1845	-1.684
130.185	-1.569
130.1855	-1.338
130.186	-1.033
130.1865	-0.705
130.187	-0.407
130.1875	-0.181
130.188	-0.039
130.1885	0.034
130.189	0.069
130.1895	0.087
130.19	0.096
130.1905	0.102
130.191	0.115
130.1915	0.146
130.192	0.188
130.1925	0.220
130.193	0.225
130.1935	0.211
130.194	0.192
130.1945	0.165
130.195	0.122
130.1955	0.069
130.196	0.028
130.1965	0.010
130.197	0.025
130.1975	0.031
130.198	0.063
130.1985	0.035
130.199	-0.074
130.1995	-0.044
130.2	0.029
130.2005	0.091
130.201	0.169
130.2015	0.232
130.202	0.283
130.2025	0.304
130.203	0.292
130.2035	0.253
130.204	0.200
130.2045	0.146
130.205	0.094
130.2055	0.041
130.206	-0.019
130.2065	-0.080
130.207	-0.127
130.2075	-0.145
130.208	-0.135
130.2085	-0.116
130.209	-0.097
130.2095	-0.072
130.21	-0.029
130.2105	0.030
130.211	0.091
130.2115	0.140
130.212	0.175
130.2125	0.198
130.213	0.205
130.2135	0.185
130.214	0.141
130.2145	0.087
130.215	0.038
130.2155	-0.004
130.216	-0.042
130.2165	-0.082
130.217	-0.107
130.2175	-0.133
130.218	-0.112
130.2185	-0.138
130.219	-0.251
130.2195	-0.240
130.22	-0.183
130.2205	-0.117
130.221	-0.026
130.2215	0.047
130.222	0.107
130.2225	0.143
130.223	0.161
130.2235	0.155
130.224	0.122
130.2245	0.065
130.225	-0.001
130.2255	-0.063
130.226	-0.114
130.2265	-0.154
130.227	-0.190
130.2275	-0.218
130.228	-0.226
130.2285	-0.217
130.229	-0.200
130.2295	-0.182
130.23	-0.162
130.2305	-0.131
130.231	-0.089
130.2315	-0.048
130.232	-0.028
130.2325	-0.031
130.233	-0.047
130.2335	-0.069
130.234	-0.099
130.2345	-0.137
130.235	-0.173
130.2355	-0.195
130.236	-0.203
130.2365	-0.212
130.237	-0.208
130.2375	-0.210
130.238	-0.162
130.2385	-0.153
130.239	-0.234
130.2395	-0.205
130.24	-0.148
130.2405	-0.090
130.241	-0.005
130.2415	0.066
130.242	0.124
130.2425	0.161
130.243	0.191
130.2435	0.215
130.244	0.224
130.2445	0.207
130.245	0.165
130.2455	0.108
130.246	0.055
130.2465	0.017
130.247	-0.014
130.2475	-0.047
130.248	-0.081
130.2485	-0.104
130.249	-0.112
130.2495	-0.108
130.25	-0.093
130.2505	-0.061
130.251	-0.005
130.2515	0.068
130.252	0.133
130.2525	0.167
130.253	0.161
130.2535	0.132
130.254	0.098
130.2545	0.061
130.255	0.011
130.2555	-0.044
130.256	-0.089
