Interval=	0.0005 s
ExcelDateTime=	4.5061542330543212e+004	5/15/2023 13:00:57.358933
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1	Channel 2
Range=	10.000 mV	10.000 V
0	-2.652	-0.000
0.0005	-2.718	-0.000
0.001	-2.721	-0.000
0.0015	-2.739	-0.000
0.002	-2.790	-0.000
0.0025	-2.845	-0.000
0.003	-2.877	-0.000
0.0035	-2.879	-0.000
0.004	-2.871	-0.000
0.0045	-2.873	-0.000
0.005	-2.892	-0.000
0.0055	-2.932	-0.000
0.006	-2.987	-0.000
0.0065	-3.030	-0.000
0.007	-3.037	-0.000
0.0075	-3.004	-0.000
0.008	-2.933	-0.000
0.0085	-2.826	-0.000
0.009	-2.686	0.000
0.0095	-2.524	-0.000
0.01	-2.361	-0.000
0.0105	-2.223	-0.000
0.011	-2.115	-0.000
0.0115	-2.018	-0.000
0.012	-1.911	0.000
0.0125	-1.789	0.000
0.013	-1.648	-0.000
0.0135	-1.506	-0.000
0.014	-1.386	-0.000
0.0145	-1.292	-0.000
0.015	-1.218	-0.000
0.0155	-1.157	-0.000
0.016	-1.089	-0.000
0.0165	-0.989	-0.000
0.017	-0.846	0.000
0.0175	-0.677	-0.000
0.018	-0.488	-0.000
0.0185	-0.307	-0.000
0.019	-0.196	-0.000
0.0195	-0.179	-0.000
0.02	-0.232	-0.000
0.0205	-0.305	-0.000
0.021	-0.352	-0.000
0.0215	-0.356	-0.000
0.022	-0.307	-0.000
0.0225	-0.208	-0.000
0.023	-0.074	-0.000
0.0235	0.064	-0.000
0.024	0.175	-0.000
0.0245	0.253	-0.000
0.025	0.309	-0.000
0.0255	0.357	-0.000
0.026	0.412	-0.000
0.0265	0.487	-0.000
0.027	0.572	0.000
0.0275	0.654	0.000
0.028	0.721	0.000
0.0285	0.757	-0.000
0.029	0.765	-0.000
0.0295	0.749	-0.000
0.03	0.701	-0.000
0.0305	0.628	-0.000
0.031	0.536	-0.000
0.0315	0.438	-0.000
0.032	0.358	-0.000
0.0325	0.303	-0.000
0.033	0.274	-0.000
0.0335	0.268	-0.000
0.034	0.286	-0.000
0.0345	0.314	-0.000
0.035	0.335	-0.000
0.0355	0.348	-0.000
0.036	0.355	-0.000
0.0365	0.358	-0.000
0.037	0.357	-0.000
0.0375	0.354	-0.000
0.038	0.345	-0.000
0.0385	0.325	-0.000
0.039	0.310	-0.000
0.0395	0.306	-0.000
0.04	0.294	-0.000
0.0405	0.264	-0.000
0.041	0.183	-0.000
0.0415	0.038	-0.000
0.042	-0.144	-0.000
0.0425	-0.322	-0.000
0.043	-0.459	-0.000
0.0435	-0.531	-0.000
0.044	-0.535	-0.000
0.0445	-0.482	-0.000
0.045	-0.376	-0.000
0.0455	-0.231	-0.000
0.046	-0.072	-0.000
0.0465	0.083	-0.000
0.047	0.229	-0.000
0.0475	0.368	-0.000
0.048	0.497	-0.000
0.0485	0.610	-0.000
0.049	0.721	-0.000
0.0495	0.824	-0.000
0.05	0.882	-0.000
0.0505	0.872	-0.000
0.051	0.807	-0.000
0.0515	0.718	-0.000
0.052	0.637	-0.000
0.0525	0.579	-0.000
0.053	0.529	-0.000
0.0535	0.482	-0.000
0.054	0.440	-0.000
0.0545	0.413	-0.000
0.055	0.408	-0.000
0.0555	0.412	-0.000
0.056	0.395	-0.000
0.0565	0.328	-0.000
0.057	0.203	-0.000
0.0575	0.049	-0.000
0.058	-0.093	-0.000
0.0585	-0.190	-0.000
0.059	-0.233	-0.000
0.0595	-0.216	-0.000
0.06	-0.146	-0.000
0.0605	-0.062	-0.000
0.061	-0.020	-0.000
0.0615	-0.043	-0.000
0.062	-0.120	-0.000
0.0625	-0.225	-0.000
0.063	-0.345	-0.000
0.0635	-0.487	-0.000
0.064	-0.641	-0.000
0.0645	-0.763	-0.000
0.065	-0.807	-0.000
0.0655	-0.741	-0.000
0.066	-0.570	-0.000
0.0665	-0.338	-0.000
0.067	-0.086	-0.000
0.0675	0.164	-0.000
0.068	0.382	-0.000
0.0685	0.539	-0.000
0.069	0.629	-0.000
0.0695	0.672	-0.000
0.07	0.694	-0.000
0.0705	0.697	-0.000
0.071	0.675	-0.000
0.0715	0.643	-0.000
0.072	0.605	-0.000
0.0725	0.542	-0.000
0.073	0.446	-0.000
0.0735	0.334	-0.000
0.074	0.231	-0.000
0.0745	0.146	-0.000
0.075	0.069	-0.000
0.0755	0.015	-0.000
0.076	0.004	-0.000
0.0765	0.007	-0.000
0.077	0.003	-0.000
0.0775	-0.000	-0.000
0.078	0.015	-0.000
0.0785	0.055	-0.000
0.079	0.103	-0.000
0.0795	0.149	-0.000
0.08	0.208	-0.000
0.0805	0.283	-0.000
0.081	0.348	-0.000
0.0815	0.379	-0.000
0.082	0.378	-0.000
0.0825	0.360	-0.000
0.083	0.340	-0.000
0.0835	0.310	-0.000
0.084	0.266	-0.000
0.0845	0.219	-0.000
0.085	0.180	-0.000
0.0855	0.159	-0.000
0.086	0.169	-0.000
0.0865	0.211	-0.000
0.087	0.283	-0.000
0.0875	0.379	-0.000
0.088	0.485	-0.000
0.0885	0.580	-0.000
0.089	0.646	-0.000
0.0895	0.676	-0.000
0.09	0.681	-0.000
0.0905	0.673	-0.000
0.091	0.651	-0.000
0.0915	0.601	-0.000
0.092	0.509	-0.000
0.0925	0.377	-0.000
0.093	0.226	-0.000
0.0935	0.068	-0.000
0.094	-0.086	-0.000
0.0945	-0.206	-0.000
0.095	-0.254	-0.000
0.0955	-0.244	-0.000
0.096	-0.215	-0.000
0.0965	-0.180	-0.000
0.097	-0.148	-0.000
0.0975	-0.120	-0.000
0.098	-0.100	-0.000
0.0985	-0.101	-0.000
0.099	-0.139	-0.000
0.0995	-0.208	-0.000
0.1	-0.277	-0.000
0.1005	-0.321	-0.000
0.101	-0.324	-0.000
0.1015	-0.291	-0.000
0.102	-0.248	-0.000
0.1025	-0.194	-0.000
0.103	-0.131	-0.000
0.1035	-0.098	-0.000
0.104	-0.107	-0.000
0.1045	-0.140	-0.000
0.105	-0.175	-0.000
0.1055	-0.188	-0.000
0.106	-0.153	-0.000
0.1065	-0.074	-0.000
0.107	0.015	-0.000
0.1075	0.085	-0.000
0.108	0.111	-0.000
0.1085	0.097	-0.000
0.109	0.044	-0.000
0.1095	-0.046	-0.000
0.11	-0.158	-0.000
