Interval=	0.0005 s
ExcelDateTime=	4.5061542499698298e+004	5/15/2023 13:01:11.973933
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1
Range=	10.000 mV
14.615	-0.981
14.6155	-1.028
14.616	-1.072
14.6165	-1.108
14.617	-1.131
14.6175	-1.142
14.618	-1.144
14.6185	-1.134
14.619	-1.115
14.6195	-1.092
14.62	-1.067
14.6205	-1.040
14.621	-1.005
14.6215	-0.955
14.622	-0.893
14.6225	-0.833
14.623	-0.791
14.6235	-0.781
14.624	-0.812
14.6245	-0.885
14.625	-1.018
14.6255	-1.204
14.626	-1.389
14.6265	-1.532
14.627	-1.603
14.6275	-1.581
14.628	-1.462
14.6285	-1.252
14.629	-0.989
14.6295	-0.725
14.63	-0.506
14.6305	-0.355
14.631	-0.267
14.6315	-0.244
14.632	-0.282
14.6325	-0.364
14.633	-0.466
14.6335	-0.561
14.634	-0.637
14.6345	-0.697
14.635	-0.747
14.6355	-0.787
14.636	-0.812
14.6365	-0.816
14.637	-0.799
14.6375	-0.764
14.638	-0.727
14.6385	-0.707
14.639	-0.710
14.6395	-0.731
14.64	-0.762
14.6405	-0.790
14.641	-0.803
14.6415	-0.795
14.642	-0.777
14.6425	-0.759
14.643	-0.742
14.6435	-0.721
14.644	-0.695
14.6445	-0.659
14.645	-0.622
14.6455	-0.593
14.646	-0.562
14.6465	-0.532
14.647	-0.515
14.6475	-0.502
14.648	-0.482
14.6485	-0.464
14.649	-0.459
14.6495	-0.469
14.65	-0.490
14.6505	-0.514
14.651	-0.528
14.6515	-0.520
14.652	-0.488
14.6525	-0.439
14.653	-0.387
14.6535	-0.343
14.654	-0.311
14.6545	-0.288
14.655	-0.268
14.6555	-0.252
14.656	-0.233
14.6565	-0.210
14.657	-0.192
14.6575	-0.180
14.658	-0.175
14.6585	-0.164
14.659	-0.142
14.6595	-0.127
14.66	-0.140
14.6605	-0.173
14.661	-0.204
14.6615	-0.219
14.662	-0.208
14.6625	-0.172
14.663	-0.131
14.6635	-0.104
14.664	-0.102
14.6645	-0.112
14.665	-0.134
14.6655	-0.176
14.666	-0.215
14.6665	-0.249
14.667	-0.287
14.6675	-0.318
14.668	-0.336
14.6685	-0.340
14.669	-0.328
14.6695	-0.316
14.67	-0.317
14.6705	-0.327
14.671	-0.336
14.6715	-0.336
14.672	-0.324
14.6725	-0.301
14.673	-0.269
14.6735	-0.218
14.674	-0.146
14.6745	-0.063
14.675	0.013
14.6755	0.073
14.676	0.119
14.6765	0.154
14.677	0.180
14.6775	0.200
14.678	0.205
14.6785	0.190
